feature,feature_type,psi,severity
cumulative_operating_hours,numeric,8.899345677701184,action
ambient_temperature_c,numeric,3.8838862018548106,action
ambient_humidity_pct,numeric,0.5603724292761374,action
temperature_c,numeric,0.07726410918371504,stable
failures_last_30d,numeric,0.054339504700513325,stable
downtime_last_7d_min,numeric,0.01476489640243617,stable
lubrication_index,numeric,0.005587512966584136,stable
hours_since_maintenance,numeric,0.004759354298633557,stable
pressure_bar,numeric,0.004659115610155491,stable
current_amp,numeric,0.004039404449841088,stable
tool_wear_pct,numeric,0.003880731047394783,stable
defect_rate_lag_1,numeric,0.0030956608277758844,stable
vibration_rms,numeric,0.0023990680484995332,stable
vibration_rolling_3,numeric,0.002007678522749195,stable
planned_downtime_min,numeric,5.173307512399099e-08,stable
criticality,numeric,0.0,stable
machine_age_years,numeric,0.0,stable
changeover_count,numeric,0.0,stable
line_id,categorical,0.0,stable
machine_id,categorical,0.0,stable
machine_type,categorical,0.0,stable
product_id,categorical,0.0,stable
shift,categorical,0.0,stable
