machine_id,line_id,planned_production_min,run_time_min,total_units,first_pass_good_units,scrap_units,rework_units,copq,unplanned_downtime_min,availability,performance,quality_rate,oee,fpy,scrap_rate,rework_rate
MC-01,LINE-A,752224.0,740494.6691554366,1631307,1563694,28460,39153,943793.0,11729.330844563485,0.9844071302636404,0.9095679704237726,0.9585528658921957,0.8582740452667105,0.9585528658921957,0.017446133682991614,0.024001000424812742
MC-02,LINE-A,753484.0,741117.1157699605,1622715,1541954,34160,46601,1132937.5,12366.884230039497,0.9835870645826063,0.905380835303238,0.9502309401219561,0.8462004912191956,0.9502309401219561,0.021051139602456376,0.02871792027558752
MC-03,LINE-A,753484.0,740399.033853854,1634425,1548084,35919,50422,1202816.0,13084.966146146005,0.9826340491023752,0.9112940938816091,0.9471734707924805,0.8481641069567045,0.9471734707924805,0.02197653609067409,0.030849993116845373
MC-04,LINE-B,752224.0,740363.2093988467,1634295,1568953,27471,37871,914168.5,11860.790601153243,0.9842323688141388,0.9114543935103472,0.9600182341621311,0.8612159576744632,0.9600182341621311,0.016809082815525962,0.023172683022342967
MC-05,LINE-B,753484.0,740738.4187410227,1633652,1557914,31929,43809,1055737.5,12745.581258977272,0.9830844699303803,0.9102134882458752,0.9536388410750882,0.853332003309879,0.9536388410750882,0.01954455416453443,0.026816604760377363
MC-06,LINE-B,753484.0,741101.2181937038,1629791,1541625,36910,51256,1228515.5,12382.781806296194,0.9835659658250259,0.9090639489731764,0.9459034931472808,0.845755356348198,0.9459034931472808,0.022647075606626862,0.03144943124609229
MC-07,LINE-C,752224.0,739475.3241692989,1641890,1579398,26227,36265,872433.5,12748.675830701106,0.98305202196327,0.9176212887999596,0.9619389849502707,0.8677357839308255,0.9619389849502707,0.015973664496403535,0.02208735055332574
MC-08,LINE-C,753484.0,741382.8293738326,1625809,1545641,33653,46515,1120632.0,12101.170626167477,0.983939711226559,0.9054767749346359,0.950690394751167,0.8470029251703719,0.950690394751167,0.020699233427788875,0.02861037182104417
MC-09,LINE-C,753484.0,741695.0766165003,1633350,1544281,37567,51502,1243551.5,11788.923383499749,0.9843541158359039,0.9093906484368073,0.9454685156273915,0.8463478917548501,0.9454685156273915,0.02299996938806747,0.03153151498454097
MC-10,LINE-D,752224.0,740715.6719378986,1630691,1564447,27881,38363,924332.0,11508.328062101356,0.9847009294278016,0.910720436405937,0.9593767304780612,0.8603568296037747,0.9593767304780612,0.017097659826417144,0.023525609695521716
MC-11,LINE-D,753484.0,740262.7651351524,1629098,1551667,32515,44916,1079073.5,13221.234864847615,0.9824531975929846,0.9086587875912674,0.952470017150595,0.8502840155176271,0.952470017150595,0.01995889750033454,0.027571085349070466
MC-12,LINE-D,753484.0,741080.3222458945,1634377,1546800,36699,50878,1218915.0,12403.677754105574,0.9835382333876956,0.9103430668470576,0.9464156678661043,0.8473800935309499,0.9464156678661043,0.02245442758922819,0.031129904544667478
