base_feature,reason_code,mean_absolute_shap
tool_wear_pct,TOOL_WEAR_ELEVATED,0.049344353781791604
lubrication_index,LOW_LUBRICATION_INDEX,0.038840114687937695
hours_since_maintenance,MAINTENANCE_INTERVAL_EXCEEDED,0.03654667579944734
temperature_c,THERMAL_STRESS,0.030743024754742814
vibration_rolling_3,SUSTAINED_VIBRATION,0.023821354875954152
pressure_bar,PRESSURE_DEVIATION,0.020951853400612955
vibration_rms,HIGH_VIBRATION_PATTERN,0.019802522591177964
downtime_last_7d_min,RECENT_DOWNTIME_BURDEN,0.016439816521723678
machine_id,MACHINE_BASELINE_EFFECT,0.009683560726933587
defect_rate_lag_1,MODEL_DRIVER_DEFECT_RATE_LAG_1,0.009294380631756596
current_amp,ELECTRICAL_LOAD_STRESS,0.007875700833851928
ambient_temperature_c,MODEL_DRIVER_AMBIENT_TEMPERATURE_C,0.0074366133905259596
product_id,PRODUCT_MIX_EFFECT,0.007412184768418803
cumulative_operating_hours,MODEL_DRIVER_CUMULATIVE_OPERATING_HOURS,0.006829804678726783
failures_last_30d,RECENT_FAILURE_HISTORY,0.006552755053318372
ambient_humidity_pct,MODEL_DRIVER_AMBIENT_HUMIDITY_PCT,0.004968355905712735
machine_type,MACHINE_TYPE_EFFECT,0.004462319674025189
criticality,ASSET_CRITICALITY,0.003405399369764715
line_id,MODEL_DRIVER_LINE_ID,0.003316562145014844
machine_age_years,MODEL_DRIVER_MACHINE_AGE_YEARS,0.002479842895298659
shift,SHIFT_PATTERN,0.0023193315491274705
planned_downtime_min,MODEL_DRIVER_PLANNED_DOWNTIME_MIN,0.0006416853892629178
changeover_count,MODEL_DRIVER_CHANGEOVER_COUNT,0.000597539915270977
