subgroup_id,timestamp,machine_id,product_id,xbar,range,n,xbar_lcl,xbar_cl,xbar_ucl,range_lcl,range_cl,range_ucl,rule_1_beyond_3sigma,rule_2_two_of_three_beyond_2sigma,rule_3_four_of_five_beyond_1sigma,rule_4_eight_same_side,any_signal,range_rule_1
SG-MC-01-2025062200,2025-06-22 00:00:00,MC-01,PRD-B,80.0115582256789,0.1116430939029839,5,79.98133298727322,80.02998001088412,80.07862703449501,0.0,0.0843102662233807,0.1782319027962268,False,False,False,False,False,False
SG-MC-05-2025062200,2025-06-22 00:00:00,MC-05,PRD-B,80.05794482580359,0.107030741444376,5,79.98133298727322,80.02998001088412,80.07862703449501,0.0,0.0843102662233807,0.1782319027962268,False,False,False,False,False,False
SG-MC-03-2025062200,2025-06-22 00:00:00,MC-03,PRD-D,60.03578869397368,0.0888055175973576,5,59.9812332134637,60.03007765222271,60.07892209098171,0.0,0.0846524068613621,0.1789551881049196,False,False,False,False,False,False
SG-MC-07-2025062200,2025-06-22 00:00:00,MC-07,PRD-D,60.036668563884426,0.1768359808182893,5,59.9812332134637,60.03007765222271,60.07892209098171,0.0,0.0846524068613621,0.1789551881049196,False,False,False,False,False,False
SG-MC-06-2025062200,2025-06-22 00:00:00,MC-06,PRD-C,41.99693880674461,0.0903475348209923,5,41.98128274145005,42.03038150785648,42.0794802742629,0.0,0.0850931826801104,0.1798869881857533,False,False,False,False,False,False
SG-MC-10-2025062200,2025-06-22 00:00:00,MC-10,PRD-C,42.03496750697313,0.069103994274883,5,41.98128274145005,42.03038150785648,42.0794802742629,0.0,0.0850931826801104,0.1798869881857533,False,False,False,False,False,False
SG-MC-08-2025062200,2025-06-22 00:00:00,MC-08,PRD-A,25.048341136644503,0.072265382594729,5,24.98096531359448,25.029746559290437,25.07852780498639,0.0,0.0845428868214142,0.1787236627404697,False,False,False,False,False,False
SG-MC-04-2025062200,2025-06-22 00:00:00,MC-04,PRD-A,25.034814719057856,0.1257347798946533,5,24.98096531359448,25.029746559290437,25.07852780498639,0.0,0.0845428868214142,0.1787236627404697,False,False,False,False,False,False
SG-MC-06-2025062208,2025-06-22 08:00:00,MC-06,PRD-C,41.9905792758278,0.0428030205062057,5,41.98128274145005,42.03038150785648,42.0794802742629,0.0,0.0850931826801104,0.1798869881857533,False,True,False,False,True,False
SG-MC-08-2025062208,2025-06-22 08:00:00,MC-08,PRD-A,25.05415876765537,0.1487363775805477,5,24.98096531359448,25.029746559290437,25.07852780498639,0.0,0.0845428868214142,0.1787236627404697,False,False,False,False,False,False
SG-MC-09-2025062208,2025-06-22 08:00:00,MC-09,PRD-B,80.04574121060448,0.1343968218201894,5,79.98133298727322,80.02998001088412,80.07862703449501,0.0,0.0843102662233807,0.1782319027962268,False,False,False,False,False,False
SG-MC-01-2025062208,2025-06-22 08:00:00,MC-01,PRD-B,79.99626450608835,0.082859883946341,5,79.98133298727322,80.02998001088412,80.07862703449501,0.0,0.0843102662233807,0.1782319027962268,False,False,False,False,False,False
SG-MC-05-2025062208,2025-06-22 08:00:00,MC-05,PRD-B,80.02607221809114,0.0402522212778535,5,79.98133298727322,80.02998001088412,80.07862703449501,0.0,0.0843102662233807,0.1782319027962268,False,False,False,False,False,False
SG-MC-03-2025062208,2025-06-22 08:00:00,MC-03,PRD-D,60.041694685200106,0.0422248626544146,5,59.9812332134637,60.03007765222271,60.07892209098171,0.0,0.0846524068613621,0.1789551881049196,False,False,False,False,False,False
SG-MC-11-2025062208,2025-06-22 08:00:00,MC-11,PRD-D,59.97191392012026,0.1289010468025182,5,59.9812332134637,60.03007765222271,60.07892209098171,0.0,0.0846524068613621,0.1789551881049196,True,False,False,False,True,False
SG-MC-07-2025062208,2025-06-22 08:00:00,MC-07,PRD-D,60.05092338849448,0.1520819390041126,5,59.9812332134637,60.03007765222271,60.07892209098171,0.0,0.0846524068613621,0.1789551881049196,False,False,False,False,False,False
SG-MC-02-2025062208,2025-06-22 08:00:00,MC-02,PRD-C,42.05347870210649,0.0939675849027565,5,41.98128274145005,42.03038150785648,42.0794802742629,0.0,0.0850931826801104,0.1798869881857533,False,False,False,False,False,False
SG-MC-10-2025062208,2025-06-22 08:00:00,MC-10,PRD-C,42.03565569312492,0.0253151245922751,5,41.98128274145005,42.03038150785648,42.0794802742629,0.0,0.0850931826801104,0.1798869881857533,False,False,False,False,False,False
SG-MC-04-2025062208,2025-06-22 08:00:00,MC-04,PRD-A,25.03574535468864,0.0772061771878398,5,24.98096531359448,25.029746559290437,25.07852780498639,0.0,0.0845428868214142,0.1787236627404697,False,False,False,False,False,False
SG-MC-12-2025062208,2025-06-22 08:00:00,MC-12,PRD-A,24.99450519338735,0.0376010344912067,5,24.98096531359448,25.029746559290437,25.07852780498639,0.0,0.0845428868214142,0.1787236627404697,False,False,False,False,False,False
SG-MC-05-2025062216,2025-06-22 16:00:00,MC-05,PRD-B,80.0237122562847,0.060146808712048,5,79.98133298727322,80.02998001088412,80.07862703449501,0.0,0.0843102662233807,0.1782319027962268,False,False,False,False,False,False
SG-MC-09-2025062216,2025-06-22 16:00:00,MC-09,PRD-B,80.05789310930906,0.1063513494352861,5,79.98133298727322,80.02998001088412,80.07862703449501,0.0,0.0843102662233807,0.1782319027962268,False,False,False,False,False,False
SG-MC-12-2025062216,2025-06-22 16:00:00,MC-12,PRD-A,25.043806411983,0.0727314755148356,5,24.98096531359448,25.029746559290437,25.07852780498639,0.0,0.0845428868214142,0.1787236627404697,False,False,False,False,False,False
SG-MC-08-2025062216,2025-06-22 16:00:00,MC-08,PRD-A,25.00403771947089,0.2007785689801657,5,24.98096531359448,25.029746559290437,25.07852780498639,0.0,0.0845428868214142,0.1787236627404697,False,False,False,False,False,True
SG-MC-04-2025062216,2025-06-22 16:00:00,MC-04,PRD-A,25.039404460982503,0.076300878229734,5,24.98096531359448,25.029746559290437,25.07852780498639,0.0,0.0845428868214142,0.1787236627404697,False,False,False,False,False,False
SG-MC-10-2025062216,2025-06-22 16:00:00,MC-10,PRD-C,42.06531898947342,0.0726232123029575,5,41.98128274145005,42.03038150785648,42.0794802742629,0.0,0.0850931826801104,0.1798869881857533,False,False,False,False,False,False
SG-MC-02-2025062216,2025-06-22 16:00:00,MC-02,PRD-C,42.00906045939754,0.13229222823864,5,41.98128274145005,42.03038150785648,42.0794802742629,0.0,0.0850931826801104,0.1798869881857533,False,False,False,False,False,False
SG-MC-06-2025062216,2025-06-22 16:00:00,MC-06,PRD-C,42.01541190307698,0.1133117660001516,5,41.98128274145005,42.03038150785648,42.0794802742629,0.0,0.0850931826801104,0.1798869881857533,False,False,False,False,False,False
SG-MC-11-2025062216,2025-06-22 16:00:00,MC-11,PRD-D,60.03890672668673,0.095971540609284,5,59.9812332134637,60.03007765222271,60.07892209098171,0.0,0.0846524068613621,0.1789551881049196,False,False,False,False,False,False
SG-MC-03-2025062216,2025-06-22 16:00:00,MC-03,PRD-D,60.023382524878784,0.134154607913004,5,59.9812332134637,60.03007765222271,60.07892209098171,0.0,0.0846524068613621,0.1789551881049196,False,False,False,False,False,False
SG-MC-07-2025062216,2025-06-22 16:00:00,MC-07,PRD-D,60.06721241507408,0.0720210715409308,5,59.9812332134637,60.03007765222271,60.07892209098171,0.0,0.0846524068613621,0.1789551881049196,False,False,False,False,False,False
SG-MC-01-2025062216,2025-06-22 16:00:00,MC-01,PRD-B,79.98244898613919,0.1026525375885825,5,79.98133298727322,80.02998001088412,80.07862703449501,0.0,0.0843102662233807,0.1782319027962268,False,False,False,False,False,False
SG-MC-10-2025062300,2025-06-23 00:00:00,MC-10,PRD-C,42.03609808301076,0.0640541247791972,5,41.98128274145005,42.03038150785648,42.0794802742629,0.0,0.0850931826801104,0.1798869881857533,False,False,False,False,False,False
SG-MC-06-2025062300,2025-06-23 00:00:00,MC-06,PRD-C,41.99030631123702,0.0612679329486383,5,41.98128274145005,42.03038150785648,42.0794802742629,0.0,0.0850931826801104,0.1798869881857533,False,False,False,False,False,False
SG-MC-01-2025062300,2025-06-23 00:00:00,MC-01,PRD-B,79.99618659305659,0.030639702300732,5,79.98133298727322,80.02998001088412,80.07862703449501,0.0,0.0843102662233807,0.1782319027962268,False,False,False,False,False,False
SG-MC-02-2025062300,2025-06-23 00:00:00,MC-02,PRD-C,41.97863181088304,0.0818486039882628,5,41.98128274145005,42.03038150785648,42.0794802742629,0.0,0.0850931826801104,0.1798869881857533,True,True,False,False,True,False
SG-MC-09-2025062300,2025-06-23 00:00:00,MC-09,PRD-B,80.03660484353426,0.0976171018551639,5,79.98133298727322,80.02998001088412,80.07862703449501,0.0,0.0843102662233807,0.1782319027962268,False,False,False,False,False,False
SG-MC-05-2025062300,2025-06-23 00:00:00,MC-05,PRD-B,80.02385905492773,0.0520458229956091,5,79.98133298727322,80.02998001088412,80.07862703449501,0.0,0.0843102662233807,0.1782319027962268,False,False,False,False,False,False
SG-MC-03-2025062300,2025-06-23 00:00:00,MC-03,PRD-D,60.060716109410976,0.0960583153758989,5,59.9812332134637,60.03007765222271,60.07892209098171,0.0,0.0846524068613621,0.1789551881049196,False,False,False,False,False,False
SG-MC-08-2025062300,2025-06-23 00:00:00,MC-08,PRD-A,25.035781998604385,0.1023309500722717,5,24.98096531359448,25.029746559290437,25.07852780498639,0.0,0.0845428868214142,0.1787236627404697,False,False,False,False,False,False
SG-MC-04-2025062300,2025-06-23 00:00:00,MC-04,PRD-A,25.05206257512037,0.0395622788796359,5,24.98096531359448,25.029746559290437,25.07852780498639,0.0,0.0845428868214142,0.1787236627404697,False,False,False,False,False,False
SG-MC-12-2025062300,2025-06-23 00:00:00,MC-12,PRD-A,24.99046526283329,0.0552262311392048,5,24.98096531359448,25.029746559290437,25.07852780498639,0.0,0.0845428868214142,0.1787236627404697,False,False,False,False,False,False
SG-MC-07-2025062300,2025-06-23 00:00:00,MC-07,PRD-D,60.03783530948884,0.0685129003144595,5,59.9812332134637,60.03007765222271,60.07892209098171,0.0,0.0846524068613621,0.1789551881049196,False,False,False,False,False,False
SG-MC-11-2025062300,2025-06-23 00:00:00,MC-11,PRD-D,60.03761697340557,0.1356534644499021,5,59.9812332134637,60.03007765222271,60.07892209098171,0.0,0.0846524068613621,0.1789551881049196,False,False,False,False,False,False
SG-MC-02-2025062308,2025-06-23 08:00:00,MC-02,PRD-C,42.028021337068864,0.0908850812412609,5,41.98128274145005,42.03038150785648,42.0794802742629,0.0,0.0850931826801104,0.1798869881857533,False,False,False,False,False,False
SG-MC-06-2025062308,2025-06-23 08:00:00,MC-06,PRD-C,42.03621054448461,0.0949013399726368,5,41.98128274145005,42.03038150785648,42.0794802742629,0.0,0.0850931826801104,0.1798869881857533,False,False,False,False,False,False
SG-MC-10-2025062308,2025-06-23 08:00:00,MC-10,PRD-C,42.03532999319631,0.0874611929866162,5,41.98128274145005,42.03038150785648,42.0794802742629,0.0,0.0850931826801104,0.1798869881857533,False,False,False,False,False,False
SG-MC-12-2025062308,2025-06-23 08:00:00,MC-12,PRD-A,25.00291727251961,0.0451439041360437,5,24.98096531359448,25.029746559290437,25.07852780498639,0.0,0.0845428868214142,0.1787236627404697,False,False,False,False,False,False
SG-MC-04-2025062308,2025-06-23 08:00:00,MC-04,PRD-A,25.026409835780687,0.0149967643681314,5,24.98096531359448,25.029746559290437,25.07852780498639,0.0,0.0845428868214142,0.1787236627404697,False,False,False,False,False,False
SG-MC-07-2025062308,2025-06-23 08:00:00,MC-07,PRD-D,60.02865280339182,0.1376565720191038,5,59.9812332134637,60.03007765222271,60.07892209098171,0.0,0.0846524068613621,0.1789551881049196,False,False,False,False,False,False
SG-MC-03-2025062308,2025-06-23 08:00:00,MC-03,PRD-D,60.029018683251614,0.1086789698096524,5,59.9812332134637,60.03007765222271,60.07892209098171,0.0,0.0846524068613621,0.1789551881049196,False,False,False,False,False,False
SG-MC-11-2025062308,2025-06-23 08:00:00,MC-11,PRD-D,59.99453863911149,0.054776761204998,5,59.9812332134637,60.03007765222271,60.07892209098171,0.0,0.0846524068613621,0.1789551881049196,False,False,False,False,False,False
