line_id,machine_id,machine_type,criticality,install_year,failure_cost,maintenance_cost
LINE-A,MC-01,CNC,3,2017,25500.0,2860.0
LINE-A,MC-02,Press,4,2020,31000.0,3460.0
LINE-A,MC-03,Filler,5,2014,36500.0,4060.0
LINE-B,MC-04,CNC,4,2017,32200.0,3280.0
LINE-B,MC-05,Press,5,2020,37700.0,3880.0
LINE-B,MC-06,Filler,3,2014,26700.0,3220.0
LINE-C,MC-07,CNC,5,2017,38900.0,3700.0
LINE-C,MC-08,Press,3,2020,27900.0,3040.0
LINE-C,MC-09,Filler,4,2014,33400.0,3640.0
LINE-D,MC-10,CNC,3,2017,29100.0,2860.0
LINE-D,MC-11,Press,4,2020,34600.0,3460.0
LINE-D,MC-12,Filler,5,2014,40100.0,4060.0
