subgroup_id,timestamp,line_id,machine_id,product_id,shift,sample_number,ctq_dimension_mm,lsl_mm,usl_mm
SG-MC-01-2024010100,2024-01-01 00:00:00,LINE-A,MC-01,PRD-A,A,1,24.953042927203512,24.85,25.15
SG-MC-01-2024010100,2024-01-01 00:00:00,LINE-A,MC-01,PRD-A,A,2,24.95805049227899,24.85,25.15
SG-MC-01-2024010100,2024-01-01 00:00:00,LINE-A,MC-01,PRD-A,A,3,25.024791717681186,24.85,25.15
SG-MC-01-2024010100,2024-01-01 00:00:00,LINE-A,MC-01,PRD-A,A,4,24.98667304159195,24.85,25.15
SG-MC-01-2024010100,2024-01-01 00:00:00,LINE-A,MC-01,PRD-A,A,5,24.95551730742008,24.85,25.15
SG-MC-01-2024010108,2024-01-01 08:00:00,LINE-A,MC-01,PRD-A,B,1,25.014447015644638,24.85,25.15
SG-MC-01-2024010108,2024-01-01 08:00:00,LINE-A,MC-01,PRD-A,B,2,24.976378694692762,24.85,25.15
SG-MC-01-2024010108,2024-01-01 08:00:00,LINE-A,MC-01,PRD-A,B,3,24.986762944728557,24.85,25.15
SG-MC-01-2024010108,2024-01-01 08:00:00,LINE-A,MC-01,PRD-A,B,4,24.9599789254446,24.85,25.15
SG-MC-01-2024010108,2024-01-01 08:00:00,LINE-A,MC-01,PRD-A,B,5,24.9791160609744,24.85,25.15
SG-MC-01-2024010116,2024-01-01 16:00:00,LINE-A,MC-01,PRD-A,C,1,24.957480254774758,24.85,25.15
SG-MC-01-2024010116,2024-01-01 16:00:00,LINE-A,MC-01,PRD-A,C,2,24.968260328773425,24.85,25.15
SG-MC-01-2024010116,2024-01-01 16:00:00,LINE-A,MC-01,PRD-A,C,3,24.983958190826268,24.85,25.15
SG-MC-01-2024010116,2024-01-01 16:00:00,LINE-A,MC-01,PRD-A,C,4,25.02693039891582,24.85,25.15
SG-MC-01-2024010116,2024-01-01 16:00:00,LINE-A,MC-01,PRD-A,C,5,24.974850621917117,24.85,25.15
SG-MC-01-2024010200,2024-01-02 00:00:00,LINE-A,MC-01,PRD-A,A,1,24.98610527471316,24.85,25.15
SG-MC-01-2024010200,2024-01-02 00:00:00,LINE-A,MC-01,PRD-A,A,2,24.98646910099963,24.85,25.15
SG-MC-01-2024010200,2024-01-02 00:00:00,LINE-A,MC-01,PRD-A,A,3,24.988778452705144,24.85,25.15
SG-MC-01-2024010200,2024-01-02 00:00:00,LINE-A,MC-01,PRD-A,A,4,24.946110858669655,24.85,25.15
SG-MC-01-2024010200,2024-01-02 00:00:00,LINE-A,MC-01,PRD-A,A,5,24.98351590615848,24.85,25.15
SG-MC-01-2024010208,2024-01-02 08:00:00,LINE-A,MC-01,PRD-A,B,1,24.923800546386925,24.85,25.15
SG-MC-01-2024010208,2024-01-02 08:00:00,LINE-A,MC-01,PRD-A,B,2,24.994511116668775,24.85,25.15
SG-MC-01-2024010208,2024-01-02 08:00:00,LINE-A,MC-01,PRD-A,B,3,24.95658365326663,24.85,25.15
SG-MC-01-2024010208,2024-01-02 08:00:00,LINE-A,MC-01,PRD-A,B,4,25.029267346519998,24.85,25.15
SG-MC-01-2024010208,2024-01-02 08:00:00,LINE-A,MC-01,PRD-A,B,5,24.9376722374297,24.85,25.15
SG-MC-01-2024010216,2024-01-02 16:00:00,LINE-A,MC-01,PRD-A,C,1,25.021592709117403,24.85,25.15
SG-MC-01-2024010216,2024-01-02 16:00:00,LINE-A,MC-01,PRD-A,C,2,25.03250128101181,24.85,25.15
SG-MC-01-2024010216,2024-01-02 16:00:00,LINE-A,MC-01,PRD-A,C,3,25.00129507607106,24.85,25.15
SG-MC-01-2024010216,2024-01-02 16:00:00,LINE-A,MC-01,PRD-A,C,4,25.013273265720674,24.85,25.15
SG-MC-01-2024010216,2024-01-02 16:00:00,LINE-A,MC-01,PRD-A,C,5,25.01211642946739,24.85,25.15
SG-MC-01-2024010300,2024-01-03 00:00:00,LINE-A,MC-01,PRD-B,A,1,79.99580310387798,79.72,80.28
SG-MC-01-2024010300,2024-01-03 00:00:00,LINE-A,MC-01,PRD-B,A,2,79.9403382833383,79.72,80.28
SG-MC-01-2024010300,2024-01-03 00:00:00,LINE-A,MC-01,PRD-B,A,3,79.99479164937375,79.72,80.28
SG-MC-01-2024010300,2024-01-03 00:00:00,LINE-A,MC-01,PRD-B,A,4,80.01625556856322,79.72,80.28
SG-MC-01-2024010300,2024-01-03 00:00:00,LINE-A,MC-01,PRD-B,A,5,80.00134676777692,79.72,80.28
SG-MC-01-2024010308,2024-01-03 08:00:00,LINE-A,MC-01,PRD-B,B,1,79.96172207263486,79.72,80.28
SG-MC-01-2024010308,2024-01-03 08:00:00,LINE-A,MC-01,PRD-B,B,2,79.99406024645222,79.72,80.28
SG-MC-01-2024010308,2024-01-03 08:00:00,LINE-A,MC-01,PRD-B,B,3,80.01113412430188,79.72,80.28
SG-MC-01-2024010308,2024-01-03 08:00:00,LINE-A,MC-01,PRD-B,B,4,79.95759962702726,79.72,80.28
SG-MC-01-2024010308,2024-01-03 08:00:00,LINE-A,MC-01,PRD-B,B,5,80.01474173109179,79.72,80.28
SG-MC-01-2024010316,2024-01-03 16:00:00,LINE-A,MC-01,PRD-B,C,1,79.98402556853749,79.72,80.28
SG-MC-01-2024010316,2024-01-03 16:00:00,LINE-A,MC-01,PRD-B,C,2,79.96942545664598,79.72,80.28
SG-MC-01-2024010316,2024-01-03 16:00:00,LINE-A,MC-01,PRD-B,C,3,80.01887175131819,79.72,80.28
SG-MC-01-2024010316,2024-01-03 16:00:00,LINE-A,MC-01,PRD-B,C,4,80.01774536609038,79.72,80.28
SG-MC-01-2024010316,2024-01-03 16:00:00,LINE-A,MC-01,PRD-B,C,5,80.00470376380619,79.72,80.28
SG-MC-01-2024010400,2024-01-04 00:00:00,LINE-A,MC-01,PRD-B,A,1,80.00439292491338,79.72,80.28
SG-MC-01-2024010400,2024-01-04 00:00:00,LINE-A,MC-01,PRD-B,A,2,79.99418017622685,79.72,80.28
SG-MC-01-2024010400,2024-01-04 00:00:00,LINE-A,MC-01,PRD-B,A,3,79.98694533346978,79.72,80.28
SG-MC-01-2024010400,2024-01-04 00:00:00,LINE-A,MC-01,PRD-B,A,4,80.02669974470462,79.72,80.28
SG-MC-01-2024010400,2024-01-04 00:00:00,LINE-A,MC-01,PRD-B,A,5,79.9867987662973,79.72,80.28
SG-MC-01-2024010408,2024-01-04 08:00:00,LINE-A,MC-01,PRD-B,B,1,80.04726367968202,79.72,80.28
SG-MC-01-2024010408,2024-01-04 08:00:00,LINE-A,MC-01,PRD-B,B,2,80.01577095088064,79.72,80.28
SG-MC-01-2024010408,2024-01-04 08:00:00,LINE-A,MC-01,PRD-B,B,3,79.94331419922354,79.72,80.28
SG-MC-01-2024010408,2024-01-04 08:00:00,LINE-A,MC-01,PRD-B,B,4,80.02648094707843,79.72,80.28
SG-MC-01-2024010408,2024-01-04 08:00:00,LINE-A,MC-01,PRD-B,B,5,80.04854633783665,79.72,80.28
SG-MC-01-2024010416,2024-01-04 16:00:00,LINE-A,MC-01,PRD-B,C,1,79.97380588372047,79.72,80.28
SG-MC-01-2024010416,2024-01-04 16:00:00,LINE-A,MC-01,PRD-B,C,2,80.01008708015213,79.72,80.28
SG-MC-01-2024010416,2024-01-04 16:00:00,LINE-A,MC-01,PRD-B,C,3,79.95143801573484,79.72,80.28
SG-MC-01-2024010416,2024-01-04 16:00:00,LINE-A,MC-01,PRD-B,C,4,80.02819576660961,79.72,80.28
SG-MC-01-2024010416,2024-01-04 16:00:00,LINE-A,MC-01,PRD-B,C,5,80.01112173887827,79.72,80.28
SG-MC-01-2024010500,2024-01-05 00:00:00,LINE-A,MC-01,PRD-C,A,1,41.99207583323883,41.8,42.2
SG-MC-01-2024010500,2024-01-05 00:00:00,LINE-A,MC-01,PRD-C,A,2,41.99725071959746,41.8,42.2
SG-MC-01-2024010500,2024-01-05 00:00:00,LINE-A,MC-01,PRD-C,A,3,41.97419510612564,41.8,42.2
SG-MC-01-2024010500,2024-01-05 00:00:00,LINE-A,MC-01,PRD-C,A,4,42.03641458750084,41.8,42.2
SG-MC-01-2024010500,2024-01-05 00:00:00,LINE-A,MC-01,PRD-C,A,5,41.96135191244206,41.8,42.2
SG-MC-01-2024010508,2024-01-05 08:00:00,LINE-A,MC-01,PRD-C,B,1,41.99156783167806,41.8,42.2
SG-MC-01-2024010508,2024-01-05 08:00:00,LINE-A,MC-01,PRD-C,B,2,41.951134837770056,41.8,42.2
SG-MC-01-2024010508,2024-01-05 08:00:00,LINE-A,MC-01,PRD-C,B,3,41.961296914743386,41.8,42.2
SG-MC-01-2024010508,2024-01-05 08:00:00,LINE-A,MC-01,PRD-C,B,4,41.989414717916524,41.8,42.2
SG-MC-01-2024010508,2024-01-05 08:00:00,LINE-A,MC-01,PRD-C,B,5,41.96379370799791,41.8,42.2
SG-MC-01-2024010516,2024-01-05 16:00:00,LINE-A,MC-01,PRD-C,C,1,41.97449548307259,41.8,42.2
SG-MC-01-2024010516,2024-01-05 16:00:00,LINE-A,MC-01,PRD-C,C,2,41.93516610404336,41.8,42.2
SG-MC-01-2024010516,2024-01-05 16:00:00,LINE-A,MC-01,PRD-C,C,3,41.99903901230611,41.8,42.2
SG-MC-01-2024010516,2024-01-05 16:00:00,LINE-A,MC-01,PRD-C,C,4,42.02302245222218,41.8,42.2
SG-MC-01-2024010516,2024-01-05 16:00:00,LINE-A,MC-01,PRD-C,C,5,42.016870236371155,41.8,42.2
SG-MC-01-2024010600,2024-01-06 00:00:00,LINE-A,MC-01,PRD-C,A,1,41.98244413140521,41.8,42.2
SG-MC-01-2024010600,2024-01-06 00:00:00,LINE-A,MC-01,PRD-C,A,2,42.056921035759224,41.8,42.2
SG-MC-01-2024010600,2024-01-06 00:00:00,LINE-A,MC-01,PRD-C,A,3,42.008832933856056,41.8,42.2
SG-MC-01-2024010600,2024-01-06 00:00:00,LINE-A,MC-01,PRD-C,A,4,41.930122704328866,41.8,42.2
SG-MC-01-2024010600,2024-01-06 00:00:00,LINE-A,MC-01,PRD-C,A,5,42.02922601361036,41.8,42.2
SG-MC-01-2024010608,2024-01-06 08:00:00,LINE-A,MC-01,PRD-C,B,1,42.024494186994346,41.8,42.2
SG-MC-01-2024010608,2024-01-06 08:00:00,LINE-A,MC-01,PRD-C,B,2,42.010890843526944,41.8,42.2
SG-MC-01-2024010608,2024-01-06 08:00:00,LINE-A,MC-01,PRD-C,B,3,42.02625479635192,41.8,42.2
SG-MC-01-2024010608,2024-01-06 08:00:00,LINE-A,MC-01,PRD-C,B,4,41.994912128058026,41.8,42.2
SG-MC-01-2024010608,2024-01-06 08:00:00,LINE-A,MC-01,PRD-C,B,5,42.024568813145976,41.8,42.2
SG-MC-01-2024010616,2024-01-06 16:00:00,LINE-A,MC-01,PRD-C,C,1,41.98096529117702,41.8,42.2
SG-MC-01-2024010616,2024-01-06 16:00:00,LINE-A,MC-01,PRD-C,C,2,41.95870796518948,41.8,42.2
SG-MC-01-2024010616,2024-01-06 16:00:00,LINE-A,MC-01,PRD-C,C,3,42.036352298534716,41.8,42.2
SG-MC-01-2024010616,2024-01-06 16:00:00,LINE-A,MC-01,PRD-C,C,4,42.03110671591931,41.8,42.2
SG-MC-01-2024010616,2024-01-06 16:00:00,LINE-A,MC-01,PRD-C,C,5,42.027327253035736,41.8,42.2
SG-MC-01-2024010700,2024-01-07 00:00:00,LINE-A,MC-01,PRD-D,A,1,59.99534113097013,59.78,60.22
SG-MC-01-2024010700,2024-01-07 00:00:00,LINE-A,MC-01,PRD-D,A,2,60.046133068118245,59.78,60.22
SG-MC-01-2024010700,2024-01-07 00:00:00,LINE-A,MC-01,PRD-D,A,3,60.03718259926042,59.78,60.22
SG-MC-01-2024010700,2024-01-07 00:00:00,LINE-A,MC-01,PRD-D,A,4,60.10904399544488,59.78,60.22
SG-MC-01-2024010700,2024-01-07 00:00:00,LINE-A,MC-01,PRD-D,A,5,60.03752556588059,59.78,60.22
SG-MC-01-2024010708,2024-01-07 08:00:00,LINE-A,MC-01,PRD-D,B,1,60.001913954108396,59.78,60.22
SG-MC-01-2024010708,2024-01-07 08:00:00,LINE-A,MC-01,PRD-D,B,2,60.033378367119056,59.78,60.22
SG-MC-01-2024010708,2024-01-07 08:00:00,LINE-A,MC-01,PRD-D,B,3,59.94332910209384,59.78,60.22
SG-MC-01-2024010708,2024-01-07 08:00:00,LINE-A,MC-01,PRD-D,B,4,60.01255438289683,59.78,60.22
SG-MC-01-2024010708,2024-01-07 08:00:00,LINE-A,MC-01,PRD-D,B,5,59.968655078142326,59.78,60.22
SG-MC-01-2024010716,2024-01-07 16:00:00,LINE-A,MC-01,PRD-D,C,1,60.08091456205999,59.78,60.22
SG-MC-01-2024010716,2024-01-07 16:00:00,LINE-A,MC-01,PRD-D,C,2,60.00023588016384,59.78,60.22
SG-MC-01-2024010716,2024-01-07 16:00:00,LINE-A,MC-01,PRD-D,C,3,59.97897784852703,59.78,60.22
SG-MC-01-2024010716,2024-01-07 16:00:00,LINE-A,MC-01,PRD-D,C,4,60.00087552272196,59.78,60.22
SG-MC-01-2024010716,2024-01-07 16:00:00,LINE-A,MC-01,PRD-D,C,5,60.019101131391714,59.78,60.22
SG-MC-01-2024010800,2024-01-08 00:00:00,LINE-A,MC-01,PRD-D,A,1,60.016765133235474,59.78,60.22
SG-MC-01-2024010800,2024-01-08 00:00:00,LINE-A,MC-01,PRD-D,A,2,59.935143329101905,59.78,60.22
SG-MC-01-2024010800,2024-01-08 00:00:00,LINE-A,MC-01,PRD-D,A,3,60.0515065524257,59.78,60.22
SG-MC-01-2024010800,2024-01-08 00:00:00,LINE-A,MC-01,PRD-D,A,4,60.05262714812806,59.78,60.22
SG-MC-01-2024010800,2024-01-08 00:00:00,LINE-A,MC-01,PRD-D,A,5,60.016950316883815,59.78,60.22
SG-MC-01-2024010808,2024-01-08 08:00:00,LINE-A,MC-01,PRD-D,B,1,60.07001889407564,59.78,60.22
SG-MC-01-2024010808,2024-01-08 08:00:00,LINE-A,MC-01,PRD-D,B,2,60.036632623248664,59.78,60.22
SG-MC-01-2024010808,2024-01-08 08:00:00,LINE-A,MC-01,PRD-D,B,3,60.0758672040132,59.78,60.22
SG-MC-01-2024010808,2024-01-08 08:00:00,LINE-A,MC-01,PRD-D,B,4,59.971710552445806,59.78,60.22
SG-MC-01-2024010808,2024-01-08 08:00:00,LINE-A,MC-01,PRD-D,B,5,60.05046954924195,59.78,60.22
SG-MC-01-2024010816,2024-01-08 16:00:00,LINE-A,MC-01,PRD-D,C,1,60.07781734359872,59.78,60.22
SG-MC-01-2024010816,2024-01-08 16:00:00,LINE-A,MC-01,PRD-D,C,2,60.02453384789641,59.78,60.22
SG-MC-01-2024010816,2024-01-08 16:00:00,LINE-A,MC-01,PRD-D,C,3,60.03280408271794,59.78,60.22
SG-MC-01-2024010816,2024-01-08 16:00:00,LINE-A,MC-01,PRD-D,C,4,60.06139101971835,59.78,60.22
SG-MC-01-2024010816,2024-01-08 16:00:00,LINE-A,MC-01,PRD-D,C,5,60.07280966429608,59.78,60.22
SG-MC-01-2024010900,2024-01-09 00:00:00,LINE-A,MC-01,PRD-A,A,1,25.02691076527844,24.85,25.15
SG-MC-01-2024010900,2024-01-09 00:00:00,LINE-A,MC-01,PRD-A,A,2,24.987014493326242,24.85,25.15
SG-MC-01-2024010900,2024-01-09 00:00:00,LINE-A,MC-01,PRD-A,A,3,25.068184038005455,24.85,25.15
SG-MC-01-2024010900,2024-01-09 00:00:00,LINE-A,MC-01,PRD-A,A,4,25.006166704778522,24.85,25.15
SG-MC-01-2024010900,2024-01-09 00:00:00,LINE-A,MC-01,PRD-A,A,5,24.986278835861366,24.85,25.15
SG-MC-01-2024010908,2024-01-09 08:00:00,LINE-A,MC-01,PRD-A,B,1,25.00865822224279,24.85,25.15
SG-MC-01-2024010908,2024-01-09 08:00:00,LINE-A,MC-01,PRD-A,B,2,25.030587164952397,24.85,25.15
SG-MC-01-2024010908,2024-01-09 08:00:00,LINE-A,MC-01,PRD-A,B,3,24.978632824975982,24.85,25.15
SG-MC-01-2024010908,2024-01-09 08:00:00,LINE-A,MC-01,PRD-A,B,4,25.00061897271117,24.85,25.15
SG-MC-01-2024010908,2024-01-09 08:00:00,LINE-A,MC-01,PRD-A,B,5,25.065692982798474,24.85,25.15
SG-MC-01-2024010916,2024-01-09 16:00:00,LINE-A,MC-01,PRD-A,C,1,24.951312166520992,24.85,25.15
SG-MC-01-2024010916,2024-01-09 16:00:00,LINE-A,MC-01,PRD-A,C,2,25.01234337806985,24.85,25.15
SG-MC-01-2024010916,2024-01-09 16:00:00,LINE-A,MC-01,PRD-A,C,3,25.018058882719817,24.85,25.15
SG-MC-01-2024010916,2024-01-09 16:00:00,LINE-A,MC-01,PRD-A,C,4,25.039164754306924,24.85,25.15
SG-MC-01-2024010916,2024-01-09 16:00:00,LINE-A,MC-01,PRD-A,C,5,25.060757227555303,24.85,25.15
SG-MC-01-2024011000,2024-01-10 00:00:00,LINE-A,MC-01,PRD-A,A,1,25.012359766405485,24.85,25.15
SG-MC-01-2024011000,2024-01-10 00:00:00,LINE-A,MC-01,PRD-A,A,2,25.026688118349114,24.85,25.15
SG-MC-01-2024011000,2024-01-10 00:00:00,LINE-A,MC-01,PRD-A,A,3,24.96199406210863,24.85,25.15
SG-MC-01-2024011000,2024-01-10 00:00:00,LINE-A,MC-01,PRD-A,A,4,25.011731343878186,24.85,25.15
SG-MC-01-2024011000,2024-01-10 00:00:00,LINE-A,MC-01,PRD-A,A,5,25.092139652920707,24.85,25.15
SG-MC-01-2024011008,2024-01-10 08:00:00,LINE-A,MC-01,PRD-A,B,1,25.01305646722804,24.85,25.15
SG-MC-01-2024011008,2024-01-10 08:00:00,LINE-A,MC-01,PRD-A,B,2,25.01161343879653,24.85,25.15
SG-MC-01-2024011008,2024-01-10 08:00:00,LINE-A,MC-01,PRD-A,B,3,24.955243925144394,24.85,25.15
SG-MC-01-2024011008,2024-01-10 08:00:00,LINE-A,MC-01,PRD-A,B,4,24.995200933024528,24.85,25.15
SG-MC-01-2024011008,2024-01-10 08:00:00,LINE-A,MC-01,PRD-A,B,5,25.047802660555117,24.85,25.15
SG-MC-01-2024011016,2024-01-10 16:00:00,LINE-A,MC-01,PRD-A,C,1,24.965524226756294,24.85,25.15
